Serial,name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_test,label_test
441,c5cc09432a2_1_ASR_pacman,1.37926,3.98223,5.54414,4056.38,0.44644,0.323682,4937.043,0.13871666002451732,1
1978,d0nj02753g2_1_FSR_pacman,1.28581,2.75788,4.4369,4685.05,0.45206,0.351577,1817.058,0.13866701678113036,1
2810,ja0c01008_si_002_ASR_pacman,1.28591,3.61736,6.07682,3894.18,0.46704,0.363199,5854.496,0.13861476708167297,1
1692,cryst11060574_2_ASR_pacman,1.37176,2.65089,4.23085,4109.95,0.44756,0.326267,2026.892,0.13828285584040223,1
426,ap0c00052_si_003_ASR_pacman,1.39552,2.96431,5.34441,4775.01,0.42072,0.301479,4048.02,0.1382746114947514,1
427,ap0c00052_si_003_FSR_pacman,1.39552,2.96431,5.34441,4775.01,0.42072,0.301479,4048.02,0.1382746114947514,1
2404,d3cc03374k2_ASR_pacman,1.24104,3.83665,9.0408,4067.84,0.51978,0.418827,54950.49,0.13800691338814775,1
3395,ja8b07290_si_005_ion_pacman,1.35762,3.99086,5.72246,4406.63,0.47474,0.349686,4474.176,0.13799713153701365,1
1086,c8ce01015c2_15_ion_pacman,1.46585,4.13702,5.91814,4156.83,0.45688,0.311683,3470.858,0.13789280042178054,1
2609,d3sc03553k2_3_ion_pacman,1.34137,3.95964,5.70718,4070.42,0.46652,0.347793,3290.492,0.1375877410532722,1
2062,d0sc05002d2_1_ASR_pacman,1.30776,3.87857,6.5562,3898.12,0.4784,0.365817,12180.592,0.13756309220383545,1
1569,cg100357q_si_002_ASR_pacman,1.28731,4.14456,5.84371,4229.05,0.47752,0.370943,15162.016,0.13745073388918694,1
1570,cg100357q_si_002_FSR_pacman,1.28731,4.14456,5.84371,4229.05,0.47752,0.370943,15162.016,0.13745073388918694,1
1067,c8ce00692j2_7_FSR_pacman,1.2982,3.72974,8.16427,4059.08,0.5148,0.396548,16215.232,0.1373696176371504,1
2173,d1ma00111f3_6_ASR_pacman,1.6094,2.33757,3.86469,4096.64,0.41914,0.260432,3685.856,0.13715968674480472,1
2174,d1ma00111f3_6_FSR_pacman,1.6094,2.33757,3.86469,4096.64,0.41914,0.260432,3685.856,0.13715968674480472,1
985,c8cc01837e2_2_FSR_pacman,1.55444,2.926,4.3801,4090.19,0.43976,0.282906,6858.496,0.13713163309364917,1
1194,c8nj05139a2_1_ASR_pacman,1.24114,2.62499,9.59311,4149.67,0.51594,0.415699,7134.768,0.13708405365744114,1
2170,d1ma00111f3_4_FSR_pacman,1.60632,2.34235,3.86367,4101.46,0.42126,0.262252,3685.856,0.1370668845291848,1
2169,d1ma00111f3_4_ASR_pacman,1.60632,2.34235,3.86367,4101.46,0.42126,0.262252,3685.856,0.1370668845291848,1
2611,d3sc03553k2_5_ion_pacman,1.25932,3.98907,5.65454,4397.8,0.48268,0.383286,3305.615,0.13704877095698598,1
2767,ic6b01713_si_002_1_FSR_pacman,1.39547,3.26809,5.68709,4081.17,0.48138,0.344958,1771.23,0.13703696759498862,1
608,c6dt04165e2_1_ion_pacman,1.85563,2.3047,4.46813,4074.97,0.37664,0.202971,13029.579,0.13702437172354198,1
2135,d1ce01115d2_FSR_pacman,1.37583,3.34631,4.91292,4192.21,0.47168,0.342834,2523.94,0.13699310591488822,1
2178,d1ma00111f3_8_FSR_pacman,1.60398,2.26112,3.83935,4107.6,0.4224,0.263345,3685.856,0.13696589787346358,1
2177,d1ma00111f3_8_ASR_pacman,1.60398,2.26112,3.83935,4107.6,0.4224,0.263345,3685.856,0.13696589787346358,1
3658,jz6b02458_si_004_26_FSR_pacman,1.40953,3.48002,4.41293,4029.87,0.40876,0.289996,353.24,0.136959592941315,1
611,c6dt04165e2_ion_pacman,1.85561,2.30481,4.46814,4074.91,0.37582,0.202532,4342.521,0.13692272412109452,1
2186,d1ma00111f5_5_FSR_pacman,1.56457,2.38555,3.88027,4140.45,0.4341,0.277456,3685.856,0.1368763326757212,1
2185,d1ma00111f5_5_ASR_pacman,1.56457,2.38555,3.88027,4140.45,0.4341,0.277456,3685.856,0.1368763326757212,1
2176,d1ma00111f3_7_FSR_pacman,1.58983,2.32491,3.85761,4114.9,0.4273,0.268771,3685.856,0.1367417496345228,1
2175,d1ma00111f3_7_ASR_pacman,1.58983,2.32491,3.85761,4114.9,0.4273,0.268771,3685.856,0.1367417496345228,1
309,am7b18620_si_002_FSR_pacman,1.36214,3.91121,5.8454,4031.0,0.47056,0.345456,3006.648,0.1367401325650751,1
1828,d0ce00476f2_5_FSR_pacman,1.53676,3.46151,8.53952,3636.65,0.45934,0.298902,20359.668,0.13672800954968822,1
1827,d0ce00476f2_5_ASR_pacman,1.53676,3.46151,8.53952,3636.65,0.45934,0.298902,20359.668,0.13672800954968822,1
1605,cg8002564_si_008_FSR_pacman,1.38401,3.00547,5.60641,4478.86,0.49246,0.35582,3116.544,0.13669515339536498,1
1604,cg8002564_si_008_ASR_pacman,1.38401,3.00547,5.60641,4478.86,0.49246,0.35582,3116.544,0.13669515339536498,1
2065,d0sc05002d2_2_FSR_pacman,1.1839,3.47197,7.45189,4137.97,0.5194,0.43872,26410.2,0.13655033490963764,1
1208,c8qi00684a2_4_ASR_pacman,1.36044,3.15482,4.14482,4445.57,0.46486,0.341699,6203.584,0.1364041912953523,1
1209,c8qi00684a2_4_FSR_pacman,1.36044,3.15482,4.14482,4445.57,0.46486,0.341699,6203.584,0.1364041912953523,1
2183,d1ma00111f5_2_ASR_pacman,1.58933,2.46055,3.8916,4092.02,0.42562,0.267798,1842.928,0.13634104569816274,1
2184,d1ma00111f5_2_FSR_pacman,1.58933,2.46055,3.8916,4092.02,0.42562,0.267798,1842.928,0.13634104569816274,1
347,am8b14420_si_001_ASR_pacman,1.38536,4.59139,6.7092,4393.26,0.45864,0.331062,2988.368,0.1360369141586879,1
348,am8b14420_si_001_FSR_pacman,1.38536,4.59139,6.7092,4393.26,0.45864,0.331062,2988.368,0.1360369141586879,1
984,c8cc01837e2_2_ASR_pacman,1.4828,3.08425,6.19287,3936.83,0.47808,0.322417,6542.372,0.13597705157135775,1
2013,d0ra05926a2_1_ASR_pacman,1.46618,3.74946,6.65446,3744.77,0.44182,0.30134,3991.26,0.13593348674058792,1
2014,d0ra05926a2_1_FSR_pacman,1.46618,3.74946,6.65446,3744.77,0.44182,0.30134,3991.26,0.13593348674058792,1
638,c6ta07145g2_ASR_pacman,1.26554,3.87027,5.98451,4166.25,0.49252,0.389178,4882.48,0.1359123762017116,1
639,c6ta07145g2_FSR_pacman,1.26554,3.87027,5.98451,4166.25,0.49252,0.389178,4882.48,0.1359123762017116,1
1427,c9dt02394a2_1_FSR_pacman,1.46645,3.81267,5.32992,3955.52,0.42738,0.291439,840.58,0.13590136124140517,1
1426,c9dt02394a2_1_ASR_pacman,1.46645,3.81267,5.32992,3955.52,0.42738,0.291439,840.58,0.13590136124140517,1
2209,d1qi01079d2_ion_pacman,1.74256,2.19222,3.67528,4151.53,0.36228,0.2079,2966.044,0.1358875976085745,1
1113,c8ce01875h2_4_FSR_pacman,1.45709,3.55411,5.42397,3925.86,0.44954,0.308518,2183.716,0.13581855715837088,1
349,am8b14420_si_002_ASR_pacman,1.40497,4.47448,5.70361,4376.06,0.44784,0.318754,3016.382,0.1356736552917165,1
350,am8b14420_si_002_FSR_pacman,1.40497,4.47448,5.70361,4376.06,0.44784,0.318754,3016.382,0.1356736552917165,1
2769,ic6b01713_si_002_2_FSR_pacman,1.57854,2.933,5.41404,3849.21,0.43138,0.273278,1797.198,0.13554044198120152,1
2768,ic6b01713_si_002_2_ASR_pacman,1.57854,2.933,5.41404,3849.21,0.43138,0.273278,1797.198,0.13554044198120152,1
1886,d0dt00397b2_FSR_pacman,1.51531,2.2969,4.39845,4051.37,0.44692,0.294937,4480.232,0.13535551919580358,1
2167,d1ma00111f3_2_ASR_pacman,1.55348,2.3615,3.87046,4137.9,0.4401,0.283299,3685.856,0.13534008560861432,1
2168,d1ma00111f3_2_FSR_pacman,1.55348,2.3615,3.87046,4137.9,0.4401,0.283299,3685.856,0.13534008560861432,1
1543,c9ta04842a2_FSR_pacman,1.21936,3.309,5.37388,4606.28,0.48602,0.398587,2363.284,0.13532074056944332,1
3180,ja7b02272_si_005_ASR_pacman,1.51075,4.46462,10.33545,3147.12,0.49346,0.326632,5378.754,0.1352605815588791,1
3181,ja7b02272_si_005_FSR_pacman,1.51075,4.46462,10.33545,3147.12,0.49346,0.326632,5378.754,0.1352605815588791,1
2624,d3ta02520a2_3_FSR_pacman,1.3077,3.85796,4.56615,4655.71,0.43072,0.329372,2026.876,0.13469908863854008,1
2172,d1ma00111f3_5_FSR_pacman,1.56119,2.34414,3.85991,4135.65,0.44142,0.282746,1842.928,0.1346471420505716,1
2171,d1ma00111f3_5_ASR_pacman,1.56119,2.34414,3.85991,4135.65,0.44142,0.282746,1842.928,0.1346471420505716,1
2608,d3sc03553k2_2_ion_pacman,1.34312,4.02544,5.42524,4129.95,0.47252,0.351807,3261.559,0.13464022295224864,1
2179,d1ma00111f4_2_ASR_pacman,1.61597,2.44826,3.85087,4065.47,0.42432,0.26258,1842.928,0.13461003525555704,1
