Serial,name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_svr
157,cm0c01737_si_005_117_ASR_pacman,1.33062,4.42216,4.54354,4014.72,0.58206,0.437435,610.422,0.270305895
16,am8b20450_si_007_FSR_pacman,1.50492,5.12156,7.24861,3110.04,0.50484,0.335461,1199.946,0.269998039
235,ja0c04450_si_003_FSR_pacman,1.01727,3.24672,6.05804,4878.83,0.56324,0.553677,3751.616,0.264772438
117,c9dt04912f2_ASR_pacman,1.05575,4.53353,5.71758,4581.56,0.56026,0.530676,2099.096,0.263391124
118,c9dt04912f2_FSR_pacman,1.05575,4.53353,5.71758,4581.56,0.56026,0.530676,2099.096,0.263391124
155,cm0c01737_si_004_75_ASR_pacman,1.24982,4.40446,4.54074,4296.91,0.57332,0.458722,604.494,0.259305349
156,cm0c01737_si_004_75_FSR_pacman,1.24982,4.40446,4.54074,4296.91,0.57332,0.458722,604.494,0.259305349
298,ja9b11952_si_002_3_ion_pacman,1.09595,3.7049,5.33794,5273.84,0.53012,0.483708,1007.32,0.255649699
49,c6ra03969c2_2_ASR_pacman,0.983721,4.28226,5.3579,5072.47,0.53804,0.546944,7130.32,0.252744608
202,d2dt02340g2_2_FSR_pacman,1.48619,4.40687,4.95592,2933.27,0.53998,0.363331,628.418,0.250738664
237,ja0c05286_si_008_ion_pacman,1.0718,4.35177,7.04479,4787.36,0.52674,0.491455,3219.59,0.249792842
92,c8nj05139a2_3_FSR_pacman,1.09776,3.64606,6.22976,4543.44,0.54634,0.497687,5787.032,0.249207442
236,ja0c05286_si_004_ion_pacman,1.08208,3.94376,7.40244,4738.88,0.52498,0.485157,3219.59,0.248780554
56,c7dt03363j2_2_FSR_pacman,1.21841,4.1057,5.61694,4258.16,0.54732,0.449208,1418.412,0.246328271
116,c9dt00791a2_4_FSR_pacman,1.25175,6.53807,6.88724,4638.02,0.50112,0.400336,1171.118,0.244762727
115,c9dt00791a2_4_ASR_pacman,1.25175,6.53807,6.88724,4638.02,0.50112,0.400336,1171.118,0.244762727
303,oc7b00328_si_004_ASR_pacman,1.42928,4.1006,5.55687,3389.77,0.53306,0.372958,3609.936,0.244183954
40,c6ce02146h2_1_ASR_pacman,1.00677,3.57208,6.09052,5052.18,0.52356,0.52004,3250.08,0.24202623
41,c6ce02146h2_1_FSR_pacman,1.00677,3.57208,6.09052,5052.18,0.52356,0.52004,3250.08,0.24202623
111,c9cc08206a2_2_FSR_pacman,1.78385,4.87076,5.58001,2628.18,0.49054,0.274989,3240.88,0.238853022
170,d0cc03472j2_4_FSR_pacman,1.50281,5.46708,6.3923,3547.18,0.49628,0.330235,4428.24,0.236809196
169,d0cc03472j2_4_ASR_pacman,1.50281,5.46708,6.3923,3547.18,0.49628,0.330235,4428.24,0.236809196
17,ao9b01356_si_002_ASR_pacman,3.16866,2.58196,4.7332,2096.51,0.44344,0.139946,2057.788,0.234490866
18,ao9b01356_si_002_FSR_pacman,3.16866,2.58196,4.7332,2096.51,0.44344,0.139946,2057.788,0.234490866
50,c6ra03969c2_2_FSR_pacman,1.05961,4.28226,5.3579,5196.97,0.49916,0.471078,7715.08,0.232248675
304,oc7b00328_si_004_FSR_pacman,1.44748,3.79468,5.55687,3451.03,0.52216,0.360737,3672.004,0.228360947
200,d2dt00789d2_ASR_pacman,1.56259,2.8271,6.03866,3654.05,0.52292,0.334649,877.948,0.224043126
201,d2dt00789d2_FSR_pacman,1.56259,2.8271,6.03866,3654.05,0.52292,0.334649,877.948,0.224043126
282,ja9b00913_si_002_FSR_pacman,1.28064,3.47878,5.23268,3672.06,0.52976,0.413667,5121.008,0.223288828
29,c5ce02140e2_4_ASR_pacman,1.3971,3.53082,4.5731,3621.99,0.53834,0.385326,646.488,0.220924389
166,cm9b03453_si_003_ion_pacman,1.39296,4.3034,6.00825,3922.27,0.50848,0.365037,2022.468,0.218774997
249,ja7b01764_si_005_ASR_pacman,1.27332,5.79828,6.45963,4672.76,0.4824,0.378852,2342.236,0.215329597
250,ja7b01764_si_005_FSR_pacman,1.27332,5.79828,6.45963,4672.76,0.4824,0.378852,2342.236,0.215329597
182,d0dt03952g2_1_FSR_pacman,1.10872,3.71447,5.93891,4914.93,0.50028,0.451221,861.894,0.214508534
135,c9ta04842a2_ASR_pacman,1.15531,3.6762,5.37388,4585.92,0.5182,0.448536,2411.242,0.211233958
