Serial,Name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_core,label_core
777,2019[Zr][csq]3[ASR]1,0.457711,28.66711,30.5063,3456.66,0.8351,1.82451,6097.92,-6.751566161686649,-1
778,2019[Zr][csq]3[ASR]2,0.456762,28.92149,30.78209,3484.21,0.8354,1.82896,6097.92,-6.8037473603893135,-1
456,2017[Zr][csq]3[ASR]3,0.463974,29.15594,30.53451,3519.87,0.8354,1.80053,5989.836,-6.812810880407879,-1
454,2017[Zr][csq]3[ASR]1,0.46979,29.28279,30.94298,3423.09,0.8329,1.77292,6277.812,-6.8435811097524,-1
457,2017[Zr][csq]3[ASR]4,0.458643,29.56547,31.30998,3422.38,0.8364,1.82364,5989.548,-6.9446749239664145,-1
455,2017[Zr][csq]3[ASR]2,0.444258,29.4358,30.98177,3552.73,0.8419,1.89507,6001.644,-6.958021748385827,-1
1013,2020[Zr][sod]3[ASR]1,0.345229,21.21992,38.91559,4317.51,0.8606,2.49284,17483.328,-7.531342825344457,-1
996,2020[Zn][nbo]3[ASR]3,0.330726,12.12454,22.41586,4333.68,0.8668,2.6209,18896.784,-7.597511352742721,-1
1245,2023[Eu][nan]3[ASR]2,0.777976,29.74608,30.3514,4106.09,0.6927,0.890388,8850.66,-7.599129150310729,-1
869,2020[Cu][nbo]3[ASR]4,0.328096,12.15893,22.56317,4300.16,0.8706,2.65349,18808.752,-7.652578600668964,-1
432,2017[Zn][muo]3[ASR]1,0.343786,25.1026,26.74314,4195.81,0.8738,2.5417,6517.17,-7.669462514590757,-1
839,2020[Co][nbo]3[ASR]2,0.323808,12.16772,22.51791,4302.02,0.8657,2.6735,18587.328,-7.695699469894774,-1
868,2020[Cu][nbo]3[ASR]3,0.323188,12.55234,22.78188,4312.33,0.8719,2.69781,18808.752,-7.747685061511191,-1
867,2020[Cu][nbo]3[ASR]2,0.320875,12.81334,22.95364,4314.86,0.8712,2.71508,18808.752,-7.776707876301625,-1
18,0000[Fe][nbo]3[ASR]1,0.319335,12.32727,22.61205,4346.82,0.8664,2.71314,18439.104,-7.805112724534955,-1
937,2020[Ni][nbo]3[ASR]1,0.31856,12.83641,22.80759,4351.32,0.8694,2.72916,18575.808,-7.829967091500706,-1
929,2020[Mn][nbo]3[ASR]1,0.317955,12.16855,22.45958,4400.98,0.8626,2.71296,18395.568,-7.840831569314534,-1
1062,2021[Cu][nbo]3[ASR]2,0.312648,13.16055,23.7754,4310.99,0.8747,2.79772,18808.752,-7.926307224508275,-1
1070,2021[Cu][sql]2[ASR]6,0.358334,7.90551,12.24169,5217.53,0.8303,2.31711,2112.472,-8.225096467838146,-1
194,2015[Zr][ftw]3[ASR]3,0.291153,10.49686,25.25819,4624.66,0.8722,2.99568,4241.076,-8.416507060779463,-1
256,2016[Mg][stp]3[ASR]2,0.284192,26.5894,28.05599,4801.7,0.8755,3.08066,2538.096,-8.685906055248443,-1
898,2020[Fe][hcb]2[ASR]2,0.175207,15.58313,22.94791,4287.68,0.9308,5.31257,792.207,-9.022328593618399,-1
