name,UnitCell_MW_g_mol,Density_g_cm3,PLD_A,LCD_A,GSA_m2_g,VoidFraction,PoreVolume_cm3_g
41557_2017_BFnchem2718_MOESM487_ESM_FSR_pacman,1784.168,1.85015,3.06294,4.39267,3489.03,0.4428,0.239332
41557_2017_BFnchem2718_MOESM488_ESM_ASR_pacman,3580.432,2.00547,3.07995,4.46447,3204.18,0.4381,0.218453
41557_2017_BFnchem2718_MOESM488_ESM_FSR_pacman,3580.432,2.00547,3.07995,4.46447,3204.18,0.4381,0.218453
41557_2017_BFnchem2718_MOESM489_ESM_ASR_pacman,3580.432,1.809,3.34864,4.75097,3489.48,0.45142,0.249542
41557_2017_BFnchem2718_MOESM489_ESM_FSR_pacman,3580.432,1.809,3.34864,4.75097,3489.48,0.45142,0.249542
41557_2017_BFnchem2718_MOESM490_ESM_ASR_pacman,3580.432,2.119,2.92314,4.5924,3097.39,0.41574,0.196196
41557_2017_BFnchem2718_MOESM490_ESM_FSR_pacman,3580.432,2.119,2.92314,4.5924,3097.39,0.41574,0.196196
41557_2017_BFnchem2718_MOESM491_ESM_ASR_pacman,3580.432,2.55375,3.29557,4.61731,2555.87,0.4236,0.165874
41557_2017_BFnchem2718_MOESM491_ESM_FSR_pacman,3580.432,2.55375,3.29557,4.61731,2555.87,0.4236,0.165874
41557_2017_BFnchem2718_MOESM492_ESM_ASR_pacman,3516.436,2.48517,3.16742,4.55807,2537.35,0.43162,0.173678
41557_2017_BFnchem2718_MOESM492_ESM_FSR_pacman,3516.436,2.48517,3.16742,4.55807,2537.35,0.43162,0.173678
41557_2017_BFnchem2718_MOESM493_ESM_ASR_pacman,3568.336,2.15859,3.3312,4.6275,2973.77,0.4136,0.191606
41557_2017_BFnchem2718_MOESM493_ESM_FSR_pacman,3568.336,2.15859,3.3312,4.6275,2973.77,0.4136,0.191606
41557_2017_BFnchem2718_MOESM494_ESM_ASR_pacman,3568.336,2.00403,3.55775,5.18327,3115.06,0.4494,0.224248
41557_2017_BFnchem2718_MOESM494_ESM_FSR_pacman,3568.336,2.00403,3.55775,5.18327,3115.06,0.4494,0.224248
41557_2017_BFnchem2718_MOESM495_ESM_ASR_pacman,3580.432,1.98676,3.53401,4.87727,3152.9,0.4439,0.223429
41557_2017_BFnchem2718_MOESM495_ESM_FSR_pacman,3580.432,1.98676,3.53401,4.87727,3152.9,0.4439,0.223429
41557_2017_BFnchem2718_MOESM496_ESM_ASR_pacman,3580.432,1.94572,3.32067,4.74653,3268.89,0.44946,0.231
41557_2017_BFnchem2718_MOESM496_ESM_FSR_pacman,3580.432,1.94572,3.32067,4.74653,3268.89,0.44946,0.231
41557_2017_BFnchem2718_MOESM497_ESM_ASR_pacman,3580.432,2.11395,3.37032,4.64322,3016.64,0.42938,0.203117
41557_2017_BFnchem2718_MOESM497_ESM_FSR_pacman,3580.432,2.11395,3.37032,4.64322,3016.64,0.42938,0.203117
41557_2017_BFnchem2718_MOESM498_ESM_ASR_pacman,3580.432,1.92376,3.28465,4.65274,3307.65,0.44678,0.232243
41557_2017_BFnchem2718_MOESM498_ESM_FSR_pacman,3580.432,1.92376,3.28465,4.65274,3307.65,0.44678,0.232243
41557_2017_BFnchem2718_MOESM499_ESM_ASR_pacman,3580.432,2.01969,3.22809,4.69079,3171.12,0.43124,0.213518
41557_2017_BFnchem2718_MOESM499_ESM_FSR_pacman,3580.432,2.01969,3.22809,4.69079,3171.12,0.43124,0.213518
41557_2017_BFnchem2718_MOESM500_ESM_ASR_pacman,3580.432,2.05238,3.19178,4.60631,3149.27,0.42638,0.207749
41557_2017_BFnchem2718_MOESM500_ESM_FSR_pacman,3580.432,2.05238,3.19178,4.60631,3149.27,0.42638,0.207749
41557_2017_BFnchem2718_MOESM501_ESM_ASR_pacman,3580.432,1.80094,3.52247,4.92374,3461.3,0.45696,0.253734
41557_2017_BFnchem2718_MOESM501_ESM_FSR_pacman,3580.432,1.80094,3.52247,4.92374,3461.3,0.45696,0.253734
41557_2017_BFnchem2718_MOESM502_ESM_ASR_pacman,3580.432,2.26496,3.49819,4.80343,2766.72,0.433,0.191174
41557_2017_BFnchem2718_MOESM502_ESM_FSR_pacman,3580.432,2.26496,3.49819,4.80343,2766.72,0.433,0.191174
41557_2017_BFnchem2718_MOESM503_ESM_ASR_pacman,3560.272,1.84774,3.61688,4.75143,3379.04,0.4487,0.242837
41557_2017_BFnchem2718_MOESM503_ESM_FSR_pacman,3560.272,1.84774,3.61688,4.75143,3379.04,0.4487,0.242837
41557_2017_BFnchem2718_MOESM504_ESM_ASR_pacman,3580.432,2.01503,3.23027,4.55371,3179.1,0.43338,0.215073
41557_2017_BFnchem2718_MOESM504_ESM_FSR_pacman,3580.432,2.01503,3.23027,4.55371,3179.1,0.43338,0.215073
41557_2017_BFnchem2747_MOESM339_ESM_ion_pacman,2074.676,1.53506,3.03244,5.19442,4144.14,0.4451,0.289956
41557_2017_BFnchem2747_MOESM340_ESM_ion_pacman,2074.676,1.54783,2.51529,5.39695,4255.07,0.43188,0.279024
41557_2017_BFnchem2747_MOESM341_ESM_ion_pacman,1982.49,1.16288,3.99727,5.36545,4255.28,0.5615,0.482852
41557_2017_BFnchem2747_MOESM342_ESM_ASR_pacman,1892.32,1.46677,3.6847,6.95574,2889.16,0.58312,0.397554
41557_2017_BFnchem2747_MOESM342_ESM_FSR_pacman,1892.32,1.46677,3.6847,6.95574,2889.16,0.58312,0.397554
41557_2017_BFnchem2747_MOESM343_ESM_ion_pacman,1974.426,1.54292,3.52576,5.21687,3392.67,0.49926,0.323582
41557_2017_BFnchem2747_MOESM344_ESM_ASR_pacman,7537.024,1.40893,3.76898,7.1242,3072.97,0.57294,0.406649
41557_2017_BFnchem2747_MOESM344_ESM_FSR_pacman,7537.024,1.40893,3.76898,7.1242,3072.97,0.57294,0.406649
41557_2017_BFnchem2747_MOESM345_ESM_ASR_pacman,7537.024,1.67281,3.39025,6.75749,2795.3,0.53182,0.31792
41557_2017_BFnchem2747_MOESM345_ESM_FSR_pacman,7537.024,1.67281,3.39025,6.75749,2795.3,0.53182,0.31792
41557_2017_BFnchem2747_MOESM346_ESM_ASR_pacman,1892.32,1.42643,3.59861,7.00604,3024.23,0.57146,0.400623
41557_2017_BFnchem2747_MOESM346_ESM_FSR_pacman,1892.32,1.42643,3.59861,7.00604,3024.23,0.57146,0.400623
41557_2017_BFnchem2747_MOESM347_ESM_ion_pacman,1982.49,1.7,3.25009,4.34648,3238.67,0.4769,0.280529
