Serial,Name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_svm,label_svm
41,2007[Zn][srs]3[ASR]12,1.21042,6.8958,8.47518,3291.54,0.6705,0.553938,12657.888,1.2521090892457478,1
190,2015[Zr][fcu]3[ASR]1,1.22102,4.07165,8.57883,2985.21,0.594,0.486477,1664.064,1.2508474116185573,1
459,2017[Zr][nan]3[ASR]1,0.811156,7.12418,11.99121,3514.93,0.7354,0.906607,4231.772,1.2497193398331388,1
45,2007[Zn][srs]3[ASR]9,1.23149,6.75539,8.59914,3286.98,0.6644,0.53951,12657.888,1.246874631713055,1
1113,2021[Th][fcu]3[ASR]2,1.58348,4.31767,9.53216,2202.7,0.6407,0.404615,1112.688,1.2438325720474335,1
721,2019[Tb][sqc]3[ASR]1,1.63759,4.18476,4.97698,2742.16,0.5752,0.351247,660.018,1.2311013881751383,1
30,2003[Er][tcs]3[ASR]1,1.71981,3.8733,4.80184,2664.46,0.5675,0.329979,684.336,1.2286040975818724,1
410,2017[Tb][nan]3[ASR]3,1.78672,5.09952,5.48341,2434.34,0.5308,0.297081,1416.124,1.2285756094457783,1
1012,2020[Zr][scu]3[ASR]1,0.662288,10.24814,12.39913,3454.26,0.758,1.14452,2032.64,1.2249303597273105,1
480,2018[Ce][scu]3[ASR]1,0.669755,8.70141,12.44211,3490.81,0.7629,1.13907,1817.56,1.2225042874923682,1
552,2018[Zr][nan]3[ASR]5,0.67153,9.64292,12.55429,3501.31,0.7579,1.12862,4089.216,1.2187712033013363,1
343,2017[CuAsMo][nan]2[ASR]1,1.87096,3.6369,4.77774,2437.84,0.5476,0.292684,497.772,1.2165360788171116,1
549,2018[Zr][nan]3[ASR]2,0.833978,5.34156,13.22909,3492.44,0.6897,0.827,17797.752,1.2153189674664853,1
328,2017[Co][nan]3[ASR]5,1.38138,5.76311,7.69686,2945.36,0.5597,0.405175,1103.976,1.2152884653392024,1
265,2016[ZnCo][pcu]3[ASR]1,0.64452,11.01743,13.54262,3401.65,0.7849,1.21781,7312.148,1.2043671333740678,1
1215,2022[Zr][she]3[ASR]1,0.533204,16.86206,28.48033,3338.07,0.8174,1.533,13546.512,1.202406904192785,1
949,2020[Tb][pcu]3[ASR]1,1.22059,4.29203,6.40957,3105.09,0.6342,0.519586,1812.384,1.2006694931809825,1
191,2015[Zr][fcu]3[ASR]2,0.755193,5.60661,12.59507,3549.9,0.7251,0.960152,8482.608,1.1961670047734938,1
908,2020[Hf][flu]3[ASR]1,0.606164,8.20993,19.21939,2993.11,0.8213,1.35491,6577.86,1.1942430345007813,1
1279,2023[Zn][hmc]3[ASR]1,0.744623,6.1297,14.34584,3615.46,0.752,1.00991,6753.64,1.1930703856101874,1
436,2017[Zn][nan]3[ASR]12,0.743423,16.14558,16.20251,3273.58,0.7575,1.01894,1202.868,1.1911744040012093,1
548,2018[Zr][nan]3[ASR]1,0.847475,5.25872,12.90854,3510.67,0.6856,0.808991,17797.752,1.1906043167580405,1
672,2019[In][bpq]3[ASR]2,1.41086,6.08989,6.68867,3045.09,0.5864,0.415632,2615.448,1.1897785364533549,1
442,2017[Zn][nan]3[ASR]6,0.768967,17.0711,17.57634,3258.94,0.7568,0.984177,1202.868,1.1866537917964637,1
553,2018[Zr][nan]3[ASR]6,0.753337,7.02099,12.91193,3600.32,0.7048,0.935571,4809.858,1.1847393453998774,1
1291,2023[Zr][hcp]3[ASR]1,0.647064,9.03897,15.61742,3621.93,0.7612,1.17639,7677.804,1.184732013349577,1
906,2020[Gd][pcu]3[ASR]1,1.21247,4.29546,6.40935,3133.16,0.6342,0.523066,1176.684,1.182534652414079,1
1174,2022[Eu][pts]3[ASR]1,1.12353,5.06538,6.54792,3231.59,0.6566,0.584406,1660.5,1.1810551398861067,1
556,2018[Zr][scu]3[ASR]3,0.6302,10.30205,13.01952,3488.39,0.7746,1.22913,3925.1,1.1808949717824724,1
1290,2023[Zn][pcu]3[ASR]1,0.891096,6.06437,9.40709,3497.37,0.7123,0.799353,6671.408,1.1805728579334958,1
716,2019[Sm][sqc]3[ASR]1,1.59006,4.14275,4.91789,2860.65,0.5731,0.360426,342.168,1.1777092700650509,1
748,2019[Zn][nan]3[ASR]11,0.956305,9.7296,11.76139,3591.2,0.6843,0.715566,3223.776,1.1767648299665123,1
1303,2024[CeCu][nan]3[ASR]1,1.75597,4.93687,6.13228,2702.62,0.5135,0.29243,857.154,1.1755289851334465,1
83,2013[ZnCr][lon]3[ASR]1,0.794772,6.39302,11.75677,3609.86,0.7384,0.929071,5509.914,1.17423721149972,1
1006,2020[Zr][flu]3[ASR]1,0.648009,8.31077,11.8156,3541.0,0.767,1.18363,2064.544,1.172866753568457,1
507,2018[Er][nan]3[ASR]1,1.96126,2.75591,4.46249,2525.0,0.5355,0.273039,968.39,1.1719927149283753,1
551,2018[Zr][nan]3[ASR]4,0.70707,6.67955,13.74408,3632.35,0.7225,1.02182,4857.902,1.1717235961702526,1
1017,2021[Ag][nan]2[ASR]1,1.30559,11.28189,11.71954,3277.82,0.5939,0.45489,1741.644,1.1706322459799339,1
120,2014[FeAu][nan]3[ASR]1,1.96131,3.53951,4.40815,2632.96,0.5357,0.273134,1104.423,1.1682478668170688,1
477,2018[CeZn][she]3[ASR]1,0.548192,14.59463,23.2696,3134.28,0.8241,1.50331,6693.096,1.1675141662438813,1
848,2020[CuGd][nan]2[ASR]1,1.14679,5.8836,6.96146,3322.34,0.668,0.582497,1113.518,1.1664879282408636,1
1016,2020[Zr][sql]2[ASR]1,1.07971,6.2937,9.09416,3317.4,0.6271,0.580802,3490.41,1.1653238142203066,1
535,2018[Zn][nan]3[ASR]4,0.72676,16.87738,16.92978,3230.44,0.7709,1.06074,1202.868,1.1645287189642206,1
536,2018[Zn][nan]3[ASR]5,0.725095,16.82095,16.87394,3247.65,0.7719,1.06455,1202.868,1.163177701771709,1
786,2019[Zr][sjt]3[ASR]1,0.586065,12.73503,19.8152,3548.22,0.7816,1.33364,20291.994,1.1622765096179415,1
132,2014[Zr][fcu]3[ASR]1,0.793444,6.15574,12.20585,3608.6,0.7117,0.896976,9250.56,1.160559562908967,1
437,2017[Zn][nan]3[ASR]13,0.717192,16.89619,16.95365,3305.31,0.7677,1.07043,1202.868,1.1573893246118,1
145,2015[CrMn][noa]3[ASR]1,0.621509,8.21137,10.58889,3370.78,0.8035,1.29282,2967.904,1.1555978057161218,1
148,2015[Cu][nan]3[ASR]3,0.834663,10.84307,15.30883,3773.68,0.7218,0.86478,11742.732,1.155448377749072,1
305,2017[Cd][nan]3[ASR]3,1.38141,11.60045,12.48867,2307.38,0.679,0.491526,1256.778,1.154586471655203,1
510,2018[Eu][umc]3[ASR]2,0.656783,7.87098,12.28229,3601.0,0.7656,1.16568,2037.044,1.1535771791050742,1
355,2017[Cu][nan]3[ASR]7,0.747785,6.70309,15.46971,3725.38,0.7399,0.989456,12848.752,1.1512329431370414,1
896,2020[Eu][pcu]3[ASR]1,1.19567,4.29642,6.42008,3183.68,0.6339,0.530162,1784.54,1.1471160661496216,1
69,2012[Zn][nan]3[ASR]9,0.713223,17.44104,17.497,3296.34,0.769,1.0782,1202.868,1.146076015654547,1
1080,2021[Eu][lvt]3[ASR]1,1.08296,5.2026,8.09843,3337.7,0.6516,0.601687,2036.696,1.1457480768583177,1
35,2007[In][ctn]3[ASR]1,0.921299,5.48176,6.56544,3401.24,0.7078,0.768263,4691.688,1.14545043947072,1
1200,2022[Zn][nan]3[ASR]7,0.885418,10.53136,11.38026,3650.94,0.7039,0.794992,2023.748,1.143995666210029,1
1198,2022[Zn][nan]3[ASR]5,0.884379,10.53611,11.38744,3653.52,0.7043,0.796378,2023.748,1.1427643033750658,1
783,2019[Zr][scu]3[ASR]2,0.603775,11.69536,13.93085,3461.12,0.7861,1.30198,3925.1,1.142350502777438,1
453,2017[Zr][bcu]3[ASR]2,0.674915,13.9519,14.79057,3564.27,0.7557,1.1197,3496.816,1.1415484256320527,1
1199,2022[Zn][nan]3[ASR]6,0.88444,10.53272,11.37826,3658.81,0.7044,0.796436,2023.748,1.139152032628034,1
20,0000[In][ctn]3[ASR]1,0.917254,5.5106,6.54879,3412.04,0.7087,0.772632,4691.688,1.1390456429653584,1
251,2016[Ga][nan]3[ASR]2,1.23553,6.94469,7.05551,3171.72,0.5909,0.478257,720.46,1.1390367318767682,1
1191,2022[Tb][nan]3[ASR]1,1.07791,4.57498,16.5065,3494.27,0.6423,0.595878,6902.478,1.138492991356087,1
666,2019[GaCu][agw]3[ASR]1,0.639629,9.9845,14.26665,3633.46,0.7755,1.21242,4193.13,1.1379385222112772,1
509,2018[Eu][umc]3[ASR]1,0.781314,5.97255,9.95645,3584.91,0.731,0.935603,2037.044,1.1376088467541763,1
827,2020[Co][nan]3[ASR]12,1.37675,5.54203,6.76639,2950.25,0.5381,0.390847,1062.074,1.1368631539257439,1
849,2020[CuSb][sql]2[ASR]1,1.25967,8.76669,9.22397,3369.93,0.6197,0.491955,1101.632,1.1315139671444456,1
653,2019[Er][hcb]2[ASR]1,1.69558,3.14517,5.09588,2818.55,0.5486,0.323548,620.886,1.1307575070573088,1
723,2019[Th][bcu]3[ASR]1,0.903901,14.39286,15.26833,2599.9,0.7717,0.853744,2402.128,1.1265659834030772,1
638,2019[Cu][pts]3[ASR]1,2.49229,4.56069,6.22554,2026.51,0.5787,0.232196,7031.128,1.125446505273044,1
826,2020[Co][nan]3[ASR]11,1.39318,5.51288,6.79448,2946.85,0.5325,0.382219,1062.074,1.1250636723925689,1
640,2019[Cu][rtl]3[ASR]1,1.11521,5.26074,6.26378,3305.69,0.6577,0.589757,1500.984,1.1241531275726917,1
252,2016[Ga][nan]3[ASR]3,1.23349,6.97555,7.09041,3173.09,0.583,0.472642,1440.92,1.1201071747211988,1
947,2020[Tb][nan]3[ASR]2,1.27052,6.29629,7.19811,3188.06,0.5911,0.465242,2910.846,1.1199475802353591,1
411,2017[Th][bcu]3[ASR]1,0.794986,14.01621,15.55311,2628.09,0.7937,0.998382,2402.128,1.1194955776689535,1
1189,2022[Sm][nan]3[ASR]1,1.61459,4.20194,5.5841,2931.7,0.5526,0.342254,750.354,1.1159397727342486,1
1044,2021[Co][nan]3[ASR]3,1.07268,7.53646,8.28628,3366.72,0.6223,0.580137,3504.396,1.1114774827839078,1
23,0000[U][bcu]3[ASR]1,0.909255,14.13895,15.22231,2554.96,0.7755,0.852896,2402.128,1.1113241766005697,1
894,2020[Eu][nan]3[ASR]3,1.25383,6.29607,7.18562,3232.01,0.6001,0.478613,2869.08,1.106542065997758,1
413,2017[U][bcu]3[ASR]1,0.875557,14.007,15.13285,2547.14,0.7835,0.894858,2402.128,1.100629422295098,1
250,2016[Ga][nan]3[ASR]1,1.21033,7.04653,7.15937,3216.11,0.5872,0.485156,1440.92,1.1002421935731286,1
478,2018[Ce][csq]3[ASR]1,0.557854,17.73807,23.51979,3476.89,0.8053,1.44357,5452.68,1.0988808644861574,1
513,2018[Hf][scu]3[ASR]1,0.571209,12.32894,15.77552,2930.73,0.8306,1.45411,2556.236,1.0953130616922528,1
1081,2021[Eu][nan]3[ASR]2,1.43096,7.74888,7.87258,3128.51,0.5524,0.386035,3273.32,1.0945892855103283,1
791,2020[Cd][apo]3[ASR]1,1.22093,5.78235,6.54851,3307.54,0.6341,0.519357,2556.248,1.0931033532190353,1
1298,2024[Cd][nan]3[ASR]4,0.772912,15.36258,16.38665,3731.58,0.7394,0.956642,6515.388,1.092837291418485,1
1166,2022[Cu][sql]2[ASR]5,0.728598,6.43923,10.11943,3670.46,0.7615,1.04516,5533.568,1.0909353619641802,1
1168,2022[Cu][sql]2[ASR]7,0.734269,6.26323,10.04347,3669.64,0.7598,1.03477,5533.568,1.0886602056064363,1
1165,2022[Cu][sql]2[ASR]4,0.73336,6.5336,9.98296,3674.14,0.7579,1.03346,5533.568,1.0883070271046922,1
621,2019[Cu][gar]3[ASR]1,1.25702,5.79853,8.37218,3322.48,0.6137,0.488216,11575.32,1.0877076996566388,1
893,2020[Eu][nan]3[ASR]2,1.49411,4.32517,5.70363,3028.15,0.5657,0.37862,3064.636,1.0870923606397234,1
634,2019[Cu][nbo]3[ASR]1,0.754762,6.42534,10.86778,3700.95,0.7366,0.975937,3549.06,1.08615683403106,1
1116,2021[Y][pcu]3[ASR]1,0.668328,6.49595,11.50729,3689.96,0.7537,1.12774,1665.27,1.0846276028413304,1
1276,2023[U][nan]2[ASR]1,1.06552,5.2856,7.98544,3435.19,0.6611,0.620449,4084.404,1.0843735129078849,1
1167,2022[Cu][sql]2[ASR]6,0.753447,6.39758,9.77674,3676.82,0.752,0.998079,5533.568,1.0837606620667346,1
679,2019[La][nan]3[ASR]1,1.16272,4.79446,6.74457,3284.0,0.6276,0.539771,2505.928,1.0808593717425605,1
