Serial,Name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_core,label_core
169,2015[Zn][bey]2[ASR]1,1.40778,3.42744,4.97664,4768.76,0.4014,0.285131,2139.5,0.17667287767717088,-1
969,2020[Zn][hcb]2[ASR]2,1.39429,3.45504,4.07411,4692.37,0.4336,0.310982,5047.224,0.17655156126253613,-1
1221,2023[Cd][nan]2[ASR]1,1.27081,2.87184,5.00815,4315.39,0.4971,0.391167,2043.248,0.17654736094925716,-1
235,2016[Co][sql]2[ASR]31,1.22658,3.66873,4.53547,4577.74,0.471,0.383993,335.225,0.17644923211532637,-1
1172,2022[Eu][nan]3[ASR]1,1.45236,3.1049,4.84089,3993.19,0.4654,0.320443,5787.152,0.17629201497169134,-1
761,2019[Zn][pts]3[ASR]3,1.54267,3.19677,4.93021,3891.52,0.4445,0.288136,2244.352,0.1762126600443812,-1
1060,2021[Cu][nan]3[ASR]2,1.26535,4.629,9.35783,3774.78,0.5309,0.419569,4155.336,0.17608535775082967,-1
836,2020[Co][nan]3[ASR]8,1.28942,3.54214,5.09434,4064.87,0.4822,0.373966,1938.938,0.17584355343849367,-1
234,2016[Co][sql]2[ASR]30,1.22494,3.70411,4.57164,4582.01,0.4718,0.38516,335.225,0.17581490193492533,-1
1331,2024[Ni][sql]2[ASR]3,1.23331,3.73537,4.8104,4612.78,0.4736,0.384006,334.985,0.17538301518182942,-1
333,2017[Co][pcu]3[ASR]1,1.20211,3.54072,5.26792,4384.0,0.5005,0.416352,2601.5,0.17533461277348494,-1
63,2012[Co][sqp]3[ASR]2,1.47192,3.85484,5.16079,3911.21,0.4459,0.302938,2152.784,0.17508539158913217,-1
417,2017[ZnSi][nan]3[ASR]1,1.28641,3.57964,6.17602,4267.53,0.5132,0.398939,3619.052,0.17492736523648134,-1
482,2018[Co][fsc]3[ASR]1,1.23641,3.82584,4.62849,4467.94,0.4795,0.387816,940.66,0.17485089316497437,-1
135,2015[Cd][nan]2[ASR]1,1.64404,3.76343,5.93837,3815.48,0.4411,0.268303,1666.744,0.17479938777567905,-1
495,2018[Cu][kgm]2[ASR]1,1.37823,4.75262,6.59257,4177.5,0.4781,0.346894,1714.188,0.1745915363752062,-1
229,2016[Co][sql]2[ASR]26,1.21131,3.82569,5.00222,4547.56,0.4845,0.39998,335.225,0.17447658514512954,-1
230,2016[Co][sql]2[ASR]27,1.20975,3.83127,5.06943,4579.53,0.4829,0.399172,335.225,0.1744303261215412,-1
419,2017[ZnSi][sql]2[ASR]2,1.29001,2.6525,4.47519,4711.73,0.4721,0.365965,2223.456,0.17439780567715224,-1
905,2020[Gd][nan]3[ASR]1,1.66716,2.8511,3.8644,3974.87,0.3989,0.239268,3242.928,0.17435537469098805,-1
946,2020[Tb][nan]3[ASR]1,1.67209,2.77635,3.92287,3961.36,0.4052,0.242332,4514.328,0.1742957354850294,-1
939,2020[Pr][nan]3[ASR]2,1.40849,4.38599,8.99898,3484.49,0.5296,0.376006,3938.544,0.17426687885065784,-1
111,2014[Cu][dia]3[ASR]5,1.33735,4.04987,4.48731,4565.9,0.4563,0.341196,1759.512,0.17398028690466694,-1
729,2019[Yb][nan]2[ASR]2,1.33415,3.61543,4.74117,4058.51,0.4728,0.354384,2522.544,0.1739163027749977,-1
823,2020[Co][nan]2[ASR]3,1.10096,3.24914,7.30168,4650.6,0.5142,0.467047,3218.332,0.17386911031958197,-1
564,2019[Cd][cem]2[ASR]2,1.30533,3.64645,7.34755,3992.68,0.523,0.400665,3453.52,0.17379507262762384,-1
1258,2023[Ni][sql]2[ASR]1,1.31539,3.48764,4.20008,4458.66,0.4771,0.362706,1364.028,0.1737736793667466,-1
226,2016[Co][sql]2[ASR]23,1.20938,3.83048,5.01231,4555.42,0.4859,0.401776,335.225,0.17347735545657428,-1
214,2016[Co][sql]2[ASR]12,1.2148,3.80872,4.42497,4543.57,0.4739,0.390107,335.225,0.17334544034566135,-1
1040,2021[Co][dia]3[ASR]1,1.31584,4.03611,4.49053,4203.35,0.4662,0.354299,1524.852,0.17325333741961924,-1
48,2008[Cu][pcu]3[ASR]1,1.27729,1.99329,5.16617,4296.7,0.4995,0.391063,2831.4,0.1731194739576516,-1
215,2016[Co][sql]2[ASR]13,1.22399,3.81534,4.43028,4532.13,0.4763,0.389138,335.225,0.17248574947460749,-1
707,2019[Ni][nan]3[ASR]2,1.42689,3.85272,9.29282,3157.26,0.5376,0.376763,2241.312,0.17247336486766907,-1
231,2016[Co][sql]2[ASR]28,1.21868,3.79072,4.53857,4589.29,0.4748,0.389602,335.225,0.17247316540900504,-1
217,2016[Co][sql]2[ASR]15,1.21106,3.81318,5.0117,4587.11,0.4854,0.400805,335.225,0.17240821900012304,-1
327,2017[Co][nan]3[ASR]4,1.19937,4.10518,5.27279,4507.29,0.4893,0.407965,2701.616,0.17236395276959704,-1
1086,2021[Gd][sql]2[ASR]1,1.43296,3.65042,4.94697,4054.8,0.4771,0.332948,2802.464,0.17193597835093843,-1
1123,2021[Zn][hcb]2[ASR]1,1.22503,3.24728,5.32631,4749.71,0.4815,0.393051,1488.22,0.1710920837977956,-1
108,2014[Cu][dia]3[ASR]2,1.31666,4.23828,4.69752,4541.75,0.4659,0.353851,1759.512,0.17068513519002337,-1
889,2020[Er][nan]3[ASR]1,1.68864,2.78999,3.91696,3911.11,0.3962,0.234627,3242.928,0.17030482686443582,-1
394,2017[Ni][dia]3[ASR]3,1.25034,3.51885,4.97777,4456.84,0.5014,0.401011,605.798,0.17012277972515277,-1
1103,2021[Ni][nan]3[ASR]1,1.28204,3.81554,5.09421,4180.16,0.4957,0.386651,2061.566,0.17001972177365743,-1
681,2019[La][nan]3[ASR]3,1.33605,4.31037,7.15069,3711.78,0.5101,0.381798,2633.852,0.16986862307385242,-1
429,2017[Zn][dmp]3[ASR]1,1.29595,2.22098,4.37416,4859.95,0.4427,0.341602,2175.376,0.16972967659752336,-1
909,2020[Ho][nan]3[ASR]1,1.68858,2.88228,3.90377,3914.44,0.3936,0.233095,4562.368,0.16969327219160735,-1
8,0000[Co][nan]3[ASR]8,1.19411,4.79465,6.87655,4648.44,0.4498,0.376682,2026.863,0.16956012139679033,-1
1224,2023[Cd][pts]3[ASR]1,1.32351,4.76453,5.47945,4394.05,0.4698,0.354966,1057.692,0.1692939356992338,-1
1190,2022[Tb][hcb]2[ASR]1,1.33951,3.76418,5.3418,4805.28,0.4372,0.326388,4623.552,0.16924503102031263,-1
573,2019[Cd][kgd]2[ASR]2,1.52516,3.00983,4.68355,3898.98,0.4632,0.303706,767.284,0.1689887542380606,-1
213,2016[Co][sql]2[ASR]11,1.21108,3.83079,4.47889,4541.6,0.4836,0.399312,335.225,0.16889650105492282,-1
830,2020[Co][nan]3[ASR]2,1.18156,4.17766,5.84936,4172.92,0.5095,0.431211,3163.666,0.16879910988779523,-1
110,2014[Cu][dia]3[ASR]4,1.30952,4.25475,4.69509,4539.18,0.471,0.359673,1759.512,0.16860901776006565,-1
